번호,서명,저자,출판사,출판년
160,웃기지도 않는 해적 깃발. 3-2,존 셰스카 글 ; 레인 스미스 그림 ; 지혜연 옮김,시공주니어,2007
161,(위대한 마법사 호조의)수상한 선물 가게,류가미 글 ; 김정민 그림,국민서관,2006
162,은하철도 999의 기적,류호선 글 ; 나오미양 그림,시공주니어,2007
163,이발소의 돼지,에리히 케스트너 글 ; 호르스트 렘케 그림 ; 김서정 옮김,시공주니어,2007
164,이야기꾼 생쥐와 이야기 좋아하는 고양이,우르젤 쉐플러 글 ; 볼프 몬트 그림 ; 송소민 옮김,국민서관,2008
165,일기 도서관,박효미 지음 ; 김유대 그림,사계절출판사,2007
166,일기 도서관,박효미 지음 ; 김유대 그림,사계절출판사,2007
167,자신만만 글쓰기,J. 알렉산더 지음 ; 조너선 에드워즈 그림 ; 홍연미 옮김,국민서관,2007
168,작별인사,구두룬 멥스 글 ; 윱 묀스터 그림 ; 문성원 옮김,시공주니어,2008
169,작은 신사,필리퍼 피어스 글 ; 패트릭 벤슨 그림 ; 햇살과나무꾼 옮김,시공주니어,2008
170,잠옷 파티,재클린 윌슨 글 ; 닉 샤랫 그림 ; 지혜연 옮김,시공주니어,2007
171,잠옷 파티,재클린 윌슨 글 ; 닉 샤랫 그림 ; 지혜연 옮김,시공주니어,2007
172,제임스와 슈퍼 복숭아,로알드 달 글 ; 퀜틴 블레이크 그림 ; 지혜연 옮김,시공주니어,2008
173,"조금만, 조금만 더",존 레이놀즈 가디너 글 ; 마샤 슈얼 그림 ; 김경연 옮김,시공주니어,2007
174,"조지, 마법의 약을 만들다",로알드 달 글 ; 퀜틴 블레이크 그림 ; 김연수 옮김,시공주니어,2008
175,졸참나무처럼,우봉규 글 ; 이승민 그림,시공주니어,2008
176,지난 밤 학교에서 생긴 일,조형희 [등]지음 ; 임수진 [등]그림 ; 신형건 엮음,푸른책들,2008
177,집 나온 생쥐 랄프,비벌리 클리어리 글 ; 루이스 달링 그림 ; 김영선 옮김,시공주니어,2007
178,짱꼬꼬의 여행,오명근 글 ; 손재수 그림,글사랑,2008
179,찰리와 거대한 유리 엘리베이터,로알드 달 글 ; 퀸틴 블레이크 그림 ; 지혜연 옮김,시공주니어,2008
180,창문닦이 삼총사,로알드 달 글 ; 퀸틴 블레이크 그림 ; 김연수 옮김,시공주니어,2008
181,천사가 된 비키,재클린 윌슨 글 ; 닉 샤랫 그림 ; 이은선 옮김,시공주니어,2008
182,출동 반바지 부대,빅토어 캐스팩 ; 이브 라누아 [공]글 ; 올레 쾨네케 그림 ; 문성원 옮김,시공주니어,2008
183,쿨쿨 할아버지 잠깬 날,위기철 지음 ; 신혜원 그림,사계절,2008
184,트럭 속 파란눈이,황선미 글 ; 이상권 그림,시공주니어,2007
185,펠리스 펠리스,하나 요한슨 글 ; 케티 벤트 그림 ; 채운정 옮김,시공주니어,2008
186,핑크트헨과 안톤,에리히 캐스트너 글 ; 발터 트리어 그림 ; 이희재 옮김,시공주니어,2004
187,하늘친구 땅친구,배현순 글 ; 김창희 그림,문학동네어린이,2002
188,하늘을 나는 교실,에리히 캐스트너 글 ; 발터 트리어 그림 ; 문성원 옮김,시공주니어,2006
189,한밤중 톰의 정원에서,필리파 피어스 글 ; 수잔 아인칙 그림 ; 김석희 옮김,시공주니어,2005
190,"할머니, 나랑 친구해요!",구두룬 멥스 글 ; 로트라우트 주자나 베르너 그림 ; 문성원 옮김,시공주니어,2007
191,형형색색,박정식 지음 ; 김천정 그림,세계문예,2008
192,호철이 안경은 이상해！,조성자 글 ; 정승희 그림,시공주니어,2008
193,혼자서도 할 수 있어요,노성두 글 ; 김경희 그림,사계절,2008
194,화가와 호루라기,강원희 글 ; 김혜진 그림,바우솔,2008
195,회장이면 다야,함영연 글 ; 박철민 그림,시공주니어,2008
196,(교과서에 나오는)유네스코 세계문화유산. 1 : 유럽,이형준 글·사진,시공사,2008
197,(어린이)살아있는 한국사 교과서. 1 : 선사 시대부터 삼국 통일까지,전국역사교사모임 원작 ; 윤종배 글 ; 이은홍 그림,휴머니스트,2008
198,(어린이)살아있는 한국사 교과서. 1 : 선사 시대부터 삼국 통일까지,전국역사교사모임 원작 ; 윤종배 글 ; 이은홍 그림,휴머니스트,2008
199,(우리 신화로 세상 보기)거인 똥이 태백산맥 되었다네,이경덕 글 ; 이광익 그림,아이세움,2007
200,과학의 배꼽,과학아이 글 ; 이샛별 그림,아이세움,2007
201,명재상 이야기,박윤규 지음,보물창고,2008
202,박물관에서 사회 공부하기,박물관이야기 지음,글로연,2008
203,이집트에서 보물찾기,곰돌이 co. 글 ; 강경효 그림,아이세움,2005
204,독일에서 보물찾기,곰돌이 co.글 ; 강경효 그림,아이세움,2008
205,시간을 담는 그릇,미하일 일리인 글 ; 박수현 엮음,아이세움,2007
206,신화야 나오너라 세상구경 가자,이경덕 글 ; 최용호 그림,아이세움,2007
